model,lead_days,n,bias,mae,rmse,error_sd,p95_abs,large_error_pct,debiased_rmse,n_debiased
cma_grapes_global,1,3733,-1.4534690597374769,2.0163943209215107,2.488180471213161,2.0195221587574625,4.799999999999999,23.68068577551567,1.8150955182994717,3598
cma_grapes_global,2,3688,-1.4511117136659437,2.1643980477223423,2.67912665457168,2.2521088840679817,5.199999999999999,27.52169197396963,2.0602828042874406,3553
cma_grapes_global,3,3661,-1.3862059546571976,2.242583993444414,2.807898972588263,2.4418701217581478,5.400000000000002,29.17235727943185,2.277585703806876,3526
cma_grapes_global,4,3616,-1.244607300884956,2.336587389380531,2.941299322330154,2.6649942533003124,5.699999999999999,31.498893805309734,2.505300610587179,3481
cma_grapes_global,5,3562,-1.1742560359348682,2.4769511510387425,3.156701471065709,2.9301684148695175,6.100000000000001,33.40819764177429,2.800808905693743,3427
ecmwf_ifs025,1,3733,-1.1103669970533083,1.653629788373962,2.021801876748561,1.6896058595657215,3.8000000000000007,13.876238949906242,1.5432894079073003,3598
ecmwf_ifs025,2,3688,-1.079094360086768,1.7670553145336225,2.162101467295347,1.8735629471436563,4.099999999999999,16.919739696312362,1.7394828106659423,3553
ecmwf_ifs025,3,3661,-0.991423108440317,1.8104889374487847,2.245872720685614,2.015198376728788,4.300000000000001,18.683419830647363,1.878455695698202,3526
ecmwf_ifs025,4,3616,-0.9186670353982302,1.9218196902654867,2.3899176356748644,2.2062994319408147,4.5000000000000036,21.100663716814157,2.066499959355433,3481
ecmwf_ifs025,5,3562,-0.8989051094890512,2.0428691746209995,2.547668507308804,2.383817196696833,4.899999999999999,24.059517125210554,2.2506972548932858,3427
gem_global,1,3733,-0.9703723546745247,1.6985266541655506,2.1615221194853356,1.9314645651183444,4.300000000000001,16.849718724886152,1.7431959720785537,3598
gem_global,2,3688,-1.014452277657267,1.8401030368763556,2.336667190141491,2.1049703403705515,4.600000000000001,20.390455531453362,1.9351198000272392,3553
gem_global,3,3661,-0.9827642720568153,1.97151051625239,2.53035059482883,2.331705066752494,5.1,22.80797596285168,2.1417944616301328,3526
gem_global,4,3616,-0.9136615044247788,2.1053097345132743,2.6932930463706173,2.5335844349380916,5.300000000000001,25.636061946902654,2.351041587325234,3481
gem_global,5,3562,-0.8805165637282427,2.2719258843346433,2.9366347567502538,2.8015199937808455,5.9,28.775968556990456,2.6199095544391953,3427
gfs_seamless,1,3733,-0.6874363782480578,1.832681489418698,2.3146211791103015,2.2101815374867186,4.600000000000001,19.74283418162336,1.728936212087817,3598
gfs_seamless,2,3688,-0.7458242950108461,1.9586767895878525,2.487838096579825,2.3734119987405267,5.0000000000000036,22.586767895878527,1.9449764104593497,3553
gfs_seamless,3,3661,-0.6534007101884732,2.013520895930074,2.562480637963906,2.477776126260221,5.199999999999999,24.091778202676863,2.0290804462441088,3526
gfs_seamless,4,3616,-0.5909568584070798,2.1145188053097344,2.693307935001745,2.6276753270229176,5.399999999999999,25.88495575221239,2.219780676037443,3481
gfs_seamless,5,3562,-0.5733857383492421,2.22835485682201,2.832626548125507,2.7739866539338505,5.600000000000001,28.158338012352612,2.402482264165447,3427
icon_seamless,1,3733,-0.7960621484061078,1.3616662201982321,1.7011215789313592,1.5033627912719445,3.2999999999999985,7.313152960085723,1.4279099083534417,3598
icon_seamless,2,3688,-0.7892624728850326,1.506832971800434,1.9003381934428674,1.7286844704436677,3.6999999999999993,10.737527114967461,1.6655048734608544,3553
icon_seamless,3,3661,-0.739087680961486,1.6258399344441412,2.0647018471352,1.927885659839421,4.0,13.985249931712646,1.8883573298880239,3526
icon_seamless,4,3616,-0.6790376106194692,1.7222898230088493,2.200365768065468,2.092968570389565,4.300000000000001,16.648230088495573,2.068826512001556,3481
icon_seamless,5,3562,-0.799045480067378,1.9354295339696799,2.480910837790139,2.348711328760617,4.899999999999999,21.532846715328464,2.3197087309802047,3427
jma_seamless,1,3733,-1.5781676935440667,2.043262791320654,2.558387036232622,2.0136362527072613,5.0,23.600321457272972,1.8270634849085967,3598
jma_seamless,2,3688,-1.5668383947939262,2.1491594360086768,2.695768255228965,2.1936690567402843,5.300000000000001,26.13882863340564,1.9989218351532936,3553
jma_seamless,3,3661,-1.554028953837749,2.3170991532368204,2.9620263518847643,2.521625293316538,5.800000000000001,30.538104343075663,2.184867870111857,3526
jma_seamless,4,3616,-1.481637168141593,2.4017699115044246,3.081973709638461,2.702464291879546,6.0,32.77101769911505,2.3647132227620253,3481
jma_seamless,5,3562,-1.4197080291970803,2.4520494104435713,3.1359921779113855,2.7962253220645032,6.100000000000001,33.04323413812465,2.4552863623859946,3427
