model,lead_days,n,bias,mae,rmse,error_sd,p95_abs,large_error_pct,debiased_rmse,n_debiased
cma_grapes_global,1,1969,-1.5758760792280346,2.0673946165566277,2.5188421485726544,1.964988639240182,4.75999999999999,25.139664804469277,1.7732013835290374,1969
cma_grapes_global,2,2284,-1.5033712784588442,2.205122591943958,2.7332366000282153,2.2826425718536885,5.300000000000001,27.889667250437828,2.1136776278371183,2284
cma_grapes_global,3,2257,-1.6444838280903857,2.3373504652193176,2.8953524857668897,2.383010481719646,5.599999999999998,31.723526805494018,2.243686734584361,2257
ecmwf_ifs025,1,1969,-1.0955815134586084,1.6238699847638398,1.986460007680182,1.657022784840478,3.6599999999999926,13.255459624174708,1.5316070780462459,1969
ecmwf_ifs025,2,2284,-1.0387478108581436,1.7651926444833625,2.179982767971226,1.9165927721059848,4.100000000000001,17.25043782837128,1.784845475189801,2284
ecmwf_ifs025,3,2257,-1.0833850243686312,1.801417811253877,2.2272231181226245,1.9459701197278563,4.200000000000001,18.0327868852459,1.8354389071509631,2257
gem_global,1,1969,-0.9925850685627222,1.6929405789740986,2.1729534658743286,1.933003271213371,4.300000000000001,17.318435754189945,1.7603118327256853,1969
gem_global,2,2284,-0.9932136602451839,1.8783274956217164,2.38644651526651,2.1699432239876772,4.8,21.278458844133098,1.9730616293044838,2284
gem_global,3,2257,-0.9911386796632699,1.9564023039432876,2.5152701566651228,2.311758654939036,5.099999999999998,22.817899867080193,2.1273706327501505,2257
gfs_seamless,1,1969,-0.7279837480954799,1.8260030472320976,2.319460804927893,2.202257498138128,4.659999999999991,19.24834941594718,1.742114420604381,1969
gfs_seamless,2,2284,-0.7373905429071805,2.005516637478108,2.5602700027272802,2.451782550328679,5.199999999999999,23.686514886164623,2.0089983008929737,2284
gfs_seamless,3,2257,-0.7712450155073108,1.98604342046965,2.5275504541321085,2.407009020389944,5.199999999999999,23.260965883916704,1.9693964218838278,2257
icon_seamless,1,1969,-0.890909090909091,1.3811071609954293,1.7342046357448428,1.4878664961529446,3.3000000000000043,7.668867445403758,1.419332987118361,1969
icon_seamless,2,2284,-0.8598511383537655,1.5530210157618216,1.9642480948020418,1.766048299963844,3.8000000000000007,12.040280210157619,1.717353606627516,2284
icon_seamless,3,2257,-0.8041648205582633,1.5901639344262295,2.0185229973494314,1.8514194641423185,4.0,13.557820115197163,1.8457154025782325,2257
jma_seamless,1,1969,-1.597308278313865,2.024834941594718,2.529120395435219,1.96088149530674,4.959999999999992,22.752666328085322,1.788946905578864,1969
jma_seamless,2,2284,-1.5240805604203151,2.145446584938704,2.694094209137049,2.2215584739220073,5.3,25.83187390542907,2.0257228547502835,2284
jma_seamless,3,2257,-1.6209127159946832,2.328311918475853,2.9802361834842372,2.5008897769544807,5.899999999999999,31.014621178555608,2.1766039975933587,2257
meteofrance_seamless,1,1969,-0.7589131538852211,1.7397155916708988,2.206411774865266,2.071787572393483,4.399999999999999,17.369222955815133,1.6894168215682925,1969
meteofrance_seamless,2,2284,-0.7013572679509633,1.9257005253940456,2.447842074791047,2.345214021322936,4.600000000000005,22.02276707530648,1.937827538553646,2284
meteofrance_seamless,3,2257,-0.7031900753212229,2.005981391227293,2.525007402701063,2.4251156883053855,4.800000000000002,24.412937527691625,2.0513321032499965,2257
ukmo_seamless,1,1969,-0.8825799898425598,1.5025901472828849,1.8920700034400748,1.6736132944761262,3.700000000000003,12.138141188420517,1.6136276363670081,1834
ukmo_seamless,2,2284,-0.9132661996497375,1.6939141856392297,2.1374311881468953,1.932500176621046,4.199999999999999,17.338003502626968,1.8897710060636834,2149
ukmo_seamless,3,2257,-0.9222419140451927,1.791005759858219,2.2495024803164663,2.0517629641184656,4.5,18.785999113867966,1.9538229076456388,2122
