model,lead_days,n,bias,mae,rmse,debiased_rmse,p95_abs,large_error_pct
cma_grapes_global,1,3733,-0.15732242191764875,0.6533989033055967,0.8896044990422813,0.875583131563322,1.695197236666666,0.669702652022502
cma_grapes_global,2,3688,-0.1553660597782712,0.7186005859769332,0.96480603564696,0.9522143004018464,1.925460616666667,0.7049891540130151
cma_grapes_global,3,3661,-0.18356725042505062,0.7624561515939976,1.0378609180193228,1.0214980909053615,2.0843765333333337,1.3657470636438132
cma_grapes_global,4,3616,-0.197609423724412,0.8376402089070428,1.152817279197176,1.1357544606431822,2.2868223695833336,2.0741150442477876
cma_grapes_global,5,3562,-0.1925161098767865,0.9226966053004582,1.2728378982060315,1.258194683881416,2.553749132916667,3.0881527231892196
ecmwf_ifs025,1,3733,-0.7587374114159348,0.876038121498054,1.088129302090877,0.7799634084921073,2.0696087376666665,0.8036431824270024
ecmwf_ifs025,2,3688,-0.7372756210909643,0.8878086487919163,1.109473831748053,0.8290698654990662,2.1012504916666663,1.0032537960954446
ecmwf_ifs025,3,3661,-0.7507077071639777,0.9276786430308264,1.169615703712709,0.8969051414592175,2.244731668333335,1.2838022398251845
ecmwf_ifs025,4,3616,-0.7725735457242779,0.9758504716834961,1.2420874234015509,0.9725797056382169,2.3955902894384065,2.101769911504425
ecmwf_ifs025,5,3562,-0.7710075940617015,1.0117247648351995,1.307668766286408,1.0561935865267327,2.570440017632182,2.7793374508702975
gem_global,1,3733,-0.3585301384451337,0.8272175885860942,1.0718985257281881,1.0101596850423085,2.1266468766666655,1.1251004553978035
gem_global,2,3688,-0.3633860919875659,0.885259292881637,1.144973194721897,1.085778137918457,2.3146431265833325,1.4642082429501084
gem_global,3,3661,-0.39438156676517955,0.9329686630436124,1.2188543464012238,1.1532862166595925,2.3724030000000007,2.021305654192844
gem_global,4,3616,-0.4200768873540715,0.9758082594609414,1.2773472257100622,1.2062965405488433,2.5329747420833333,2.5442477876106198
gem_global,5,3562,-0.4145341708911979,1.0564998597991613,1.3992331101044153,1.3364186161439169,2.700014212916667,3.874227961819203
gfs_seamless,1,3733,-0.320610123265207,0.8261170560705132,1.1071052882117178,1.0596656397403001,2.2912747655913974,2.035896062148406
gfs_seamless,2,3688,-0.3566009103172839,0.8724754704760611,1.1845359546365035,1.129584533617337,2.4203142083333327,2.386117136659436
gfs_seamless,3,3661,-0.38198103867631494,0.9019398568212716,1.2225509225117306,1.161344584619934,2.53856,2.9773285987435125
gfs_seamless,4,3616,-0.38905043086439595,0.9402272838038421,1.2977762025860904,1.2380883790113697,2.7328974999999995,3.5674778761061945
gfs_seamless,5,3562,-0.39546482782550446,1.009168806841367,1.3862898276644149,1.3286862143631872,2.8300526897499996,4.267265581134194
icon_seamless,1,3733,-1.2706705081209977,1.2905698839809454,1.5355451421351367,0.8621457784657665,2.912643599999999,4.4736137155103135
icon_seamless,2,3688,-1.2676570382999304,1.2985457882425873,1.5520370473938754,0.8954689440353292,2.894843675833333,4.311279826464208
icon_seamless,3,3661,-1.271762177709366,1.321082323096682,1.5905067120828322,0.9551610149752097,2.9753341683333328,4.807429664026222
icon_seamless,4,3616,-1.3144184710561364,1.3653644137028136,1.652076299974584,1.0008297477014558,3.1396813445833334,5.945796460176991
icon_seamless,5,3562,-1.312691573099695,1.3774048423677634,1.6955711339568778,1.073220529164841,3.2809669093333294,7.018528916339135
jma_seamless,1,3733,-0.6675345138357937,1.0020559909120794,1.2268398784033019,1.0293365630728557,2.2653906176666636,1.339405304045004
jma_seamless,2,3688,-0.6567484609318899,1.0400734118708284,1.2858732037754934,1.1055095455270594,2.4269487458333336,1.9793926247288502
jma_seamless,3,3661,-0.9948440997707336,1.3138439351966462,1.6119270502703884,1.2683036042465359,3.152099755000001,5.599562960939633
jma_seamless,4,3616,-1.0303275095885847,1.3482795673377364,1.6629262560902853,1.3052773483744513,3.2386759583333333,6.222345132743363
jma_seamless,5,3562,-1.0600876988717332,1.39728920665414,1.740587968749197,1.3805290825097778,3.4085361100833316,7.523862998315553
