model,lead_days,n,bias,mae,rmse,error_sd,p95_abs,large_error_pct,debiased_rmse,n_debiased
cma_grapes_global,1,1584,-0.1450223439123723,0.648030988875684,0.8725675442452713,0.8604316585507444,1.6914052999999991,0.5050505050505051,0.8059483188283226,1584
cma_grapes_global,2,2232,-0.13569792368624048,0.7129592335099729,0.9585199845014827,0.948865972725319,1.9423422968333324,0.6720430107526881,0.8972383797382301,2232
cma_grapes_global,3,1890,-0.20701461885492703,0.7629400000865639,1.0277784751079162,1.0067142302935341,2.0367742747499995,1.3756613756613756,0.9711150667929774,1890
ecmwf_ifs025,1,1584,-0.7331420829696115,0.8490761005643083,1.0595010040877197,0.7648823856266177,2.011122507666666,0.6944444444444444,0.6996924794751503,1584
ecmwf_ifs025,2,2232,-0.7277822413249935,0.8815701247768056,1.1002121944704133,0.8251059823279502,2.115492040499998,0.8960573476702508,0.7538618173204689,2232
ecmwf_ifs025,3,1890,-0.8100769885839635,0.9465607830601539,1.1815873779381734,0.8601883539490318,2.308173326499999,1.216931216931217,0.7979468165886425,1890
gem_global,1,1584,-0.3446653889460424,0.8171777662808116,1.0590648124314221,1.0014110277968167,2.077907710083333,1.1994949494949494,0.8175740929417497,1584
gem_global,2,2232,-0.3473625878005014,0.8765034637954242,1.1350034406007552,1.080542476153571,2.307778163916665,1.5232974910394266,0.8870062902312037,2232
gem_global,3,1890,-0.40607522491553305,0.9223703355117729,1.1913252543998207,1.119981595152615,2.362804983333333,1.4814814814814816,0.957008058220025,1890
gfs_seamless,1,1584,-0.30768464399654744,0.8438840094316771,1.1373833551310437,1.0949753679320224,2.26487100833333,2.272727272727273,0.8209709884993371,1584
gfs_seamless,2,2232,-0.3672115648016961,0.8842607776656014,1.2142116663518636,1.157352857766748,2.4613267583333336,2.553763440860215,0.903912723994169,2232
gfs_seamless,3,1890,-0.4058981966968382,0.9074898544460053,1.2340289978491108,1.1653644157304337,2.5289344580833335,2.857142857142857,0.9492397203261385,1890
icon_seamless,1,1584,-1.2643599912187695,1.2832967494206962,1.5241336529256864,0.8511035216622413,2.9056008150833335,4.292929292929292,0.7007899484119205,1584
icon_seamless,2,2232,-1.2710935465818634,1.3047821676460143,1.555827043097947,0.8971727725877784,2.925092741666664,4.525089605734767,0.7589674319963785,2232
icon_seamless,3,1890,-1.2720033554269972,1.3077059726639164,1.5603507243648813,0.9037155784916349,2.8716149166666662,4.232804232804233,0.8133809748138286,1890
jma_seamless,1,1584,-0.6805168725319009,1.0343115368213394,1.2560946115005291,1.0557795504934093,2.2556452565,1.5782828282828283,0.8086705690091466,1584
jma_seamless,2,2232,-0.6427508793178252,1.049884436760254,1.286947172641418,1.1149458876133416,2.47134118308333,1.971326164874552,0.8432549407227258,2232
jma_seamless,3,1890,-1.0281010185663269,1.322982355068972,1.6060580148946781,1.2338681626617636,3.0902982596666653,5.449735449735449,0.9432388697356995,1890
ukmo_seamless,1,1584,-0.9920755384205856,1.0468010286503124,1.292761087275793,0.8288651005091211,2.5273492416666667,2.335858585858586,0.6846129235176365,1449
ukmo_seamless,2,2232,-0.9696014343481278,1.0742638060484546,1.3561840939890082,0.9482132435791227,2.710516298416665,3.225806451612903,0.8280280976407626,2097
ukmo_seamless,3,1890,-0.9835293991631856,1.1077005461558715,1.4162025571376529,1.01896987385542,2.8251116083333327,3.9153439153439153,0.923610232780762,1755
