model,lead_days,n,bias,mae,rmse,error_sd,p95_abs,large_error_pct,debiased_rmse,n_debiased
cma_grapes_global,1,1662,-0.22160793871981477,0.8135230674772683,1.0406328462060777,1.0167628249003389,2.0077300666666655,0.7220216606498195,0.9073113837201243,1602
cma_grapes_global,2,1646,-0.2038195526823224,0.8779054642370796,1.1403477543071312,1.1219851116203348,2.319127666666667,1.5188335358444713,1.0143431793567836,1586
cma_grapes_global,3,1632,-0.18253641164076606,0.9548133164425563,1.2432678737881244,1.2297948871331985,2.5200779500000006,2.5122549019607843,1.1357099664962835,1572
cma_grapes_global,4,1616,-0.16554323980437724,1.086716605225528,1.426277547616842,1.4166379490155496,2.9170726666666664,4.517326732673268,1.3408737249092608,1556
cma_grapes_global,5,1590,-0.10418639495208028,1.2716182031639116,1.6600391269274788,1.6567664585079682,3.3664592666666664,7.484276729559748,1.5821740396725568,1530
ecmwf_ifs025,1,1662,-1.537152587253496,1.6097491311328795,2.0535751291970046,1.3617388643775938,4.237893374999998,15.282791817087846,0.9348041302344019,1602
ecmwf_ifs025,2,1646,-1.5466012569959353,1.6261029789481427,2.0605074197186357,1.3615121661498817,4.258442875,15.43134872417983,0.9638780742030962,1586
ecmwf_ifs025,3,1632,-1.5496701564636295,1.6387349614064397,2.091562669605133,1.4046910005591058,4.419614066666661,15.686274509803921,1.023832892243644,1572
ecmwf_ifs025,4,1616,-1.5557956553312557,1.6879738651084837,2.151325389639859,1.4858333725426547,4.373835458333334,16.76980198019802,1.145834042480806,1556
ecmwf_ifs025,5,1590,-1.5282190709739896,1.729074313348613,2.2085384154460184,1.5944241605081773,4.550809433333333,17.672955974842765,1.2882115227931326,1530
gem_global,1,1662,-1.1938149919867487,1.2590774525109991,1.5181324246347438,0.9378335799250552,2.8902606833333326,4.21179302045728,0.791005976960326,1602
gem_global,2,1646,-1.2081281909773045,1.298142273637068,1.5863312196704948,1.028043293187201,3.0965336250000006,5.710814094775213,0.8876954785258491,1586
gem_global,3,1632,-1.1978423888982697,1.3433622495653628,1.6656125315643673,1.1573412274099404,3.309070891666665,7.291666666666667,1.0385972733805529,1572
gem_global,4,1616,-1.2179867650672296,1.4211675820693102,1.7935534677657465,1.3165645756496718,3.541741208333333,8.725247524752474,1.2100976429204402,1556
gem_global,5,1590,-1.1577043959215785,1.4877997798238665,1.8748419533431375,1.4747043370382298,3.7238119416666664,10.0,1.372310363790007,1530
gfs_seamless,1,1662,-0.7644708283285057,0.9613102552368925,1.196855087117326,0.9208943762415702,2.3462351416666665,1.444043321299639,0.7923700900391493,1602
gfs_seamless,2,1646,-0.6336613015483858,0.8770664646755101,1.0910168373655944,0.8881391187957152,2.0747987500000002,1.0328068043742407,0.8417620316747428,1586
gfs_seamless,3,1632,-0.6670345866106882,0.953335445883564,1.1971503814416107,0.9940995403131935,2.369748983333332,1.5931372549019607,0.958449198352139,1572
gfs_seamless,4,1616,-0.6536945311563386,1.030520454046997,1.3330728858069418,1.1617946371067231,2.6697387500000005,3.032178217821782,1.121472773405101,1556
gfs_seamless,5,1590,-0.6400348466553312,1.1398030249730777,1.5020121218312086,1.358821478044403,3.005900808333334,5.09433962264151,1.3327020996111971,1530
icon_seamless,1,1662,-1.568119544734442,1.5912437157698633,1.8515557774631666,0.9845099747991771,3.3715015999999993,9.085439229843562,0.8148411417728305,1602
icon_seamless,2,1646,-1.620152796080585,1.6492798504944477,1.928561146425036,1.0461610836063977,3.5525526249999997,10.388821385176184,0.8929265002020975,1586
icon_seamless,3,1632,-1.625591316594348,1.6808530592414068,1.9770425597239243,1.125233377736716,3.7151091083333316,11.458333333333332,0.9817718123497736,1572
icon_seamless,4,1616,-1.639522965562279,1.7177760343490494,2.0435919586777893,1.2199313664982936,3.8813021250000004,13.180693069306932,1.0966546843758203,1556
icon_seamless,5,1590,-1.5583962198209493,1.7017738077618847,2.1071954867624028,1.4183349539088477,4.2098843,14.025157232704402,1.3001052286060428,1530
jma_seamless,1,1662,-1.1957910248788466,1.4587705499514847,1.828620605468946,1.3834511713699233,3.7309872999999993,10.409145607701564,0.8966787892024447,1602
jma_seamless,2,1646,-1.2133861395394754,1.4972582102535474,1.8820862811527561,1.4387295944954008,3.808605666666667,11.23936816524909,0.98502143526708,1586
jma_seamless,3,1632,-0.8790260081793155,1.2752057005901567,1.5713175832109894,1.3024408716914417,3.0116086840579697,5.208333333333334,1.1312185066425962,1572
jma_seamless,4,1616,-0.8903815670474277,1.3654155268784651,1.6987694052027704,1.4467336165013729,3.3172632083333333,7.858910891089109,1.3048387395045433,1556
jma_seamless,5,1590,-0.8752143539928573,1.4290876395814087,1.8122326836557632,1.5868796848769082,3.4959146416666664,9.371069182389936,1.4534215694731765,1530
