model,lead_days,n,bias,mae,rmse,debiased_rmse,p95_abs,large_error_pct
cma_grapes_global,1,1109,-0.09540437058765809,0.768182485783748,0.9899941041112681,0.9853863872856397,1.9579062999999992,0.4508566275924256
cma_grapes_global,2,994,-0.21611549670161764,0.9018350944026061,1.1803202455061261,1.1603663102818242,2.4388041999999994,2.2132796780684103
cma_grapes_global,3,841,-0.20242069407056748,0.9536894539995684,1.2269616506130174,1.2101490630029883,2.4823061666666666,2.140309155766944
ecmwf_ifs025,1,1109,-1.228256209536206,1.316060250139439,1.7209381936944173,1.2054106977507526,3.659245099999997,8.656447249774573
ecmwf_ifs025,2,994,-1.521550721924591,1.6067863007307615,2.050706744407019,1.3748751042066298,4.2696215416666625,14.989939637826962
ecmwf_ifs025,3,841,-1.568533763356942,1.6715204268527803,2.100609952930213,1.3972344139616586,4.315038,15.457788347205708
gem_global,1,1109,-1.0444427138944867,1.1283427215525148,1.3787082317702666,0.8999865586461915,2.699419866666662,3.3363390441839496
gem_global,2,994,-1.2210971672632902,1.319554234828099,1.6273759249378925,1.075766754073126,3.1918817083333324,6.237424547283702
gem_global,3,841,-1.1716263119102517,1.330279586652191,1.6594436941503485,1.175178777588728,3.375412166666667,7.728894173602854
gfs_seamless,1,1109,-0.68295300845415,0.8859227441214831,1.0968268578667637,0.8582565725826418,2.183060233333333,0.7213706041478809
gfs_seamless,2,994,-0.619030601200245,0.8834433001912928,1.1068698506364516,0.9175848631192777,2.113160416666666,1.30784708249497
gfs_seamless,3,841,-0.6273387574116391,0.9398391902986438,1.1637787951526326,0.9802179183712842,2.3367535000000004,1.1890606420927468
icon_seamless,1,1109,-1.4932569609639184,1.5223568515821801,1.7778687918993485,0.96488397734777,3.226077866666665,8.025247971145175
icon_seamless,2,994,-1.6023752524410229,1.6330843141445777,1.919728802758173,1.0572380179050958,3.489066274999999,9.859154929577464
icon_seamless,3,841,-1.6027915913395028,1.6737983360878181,1.9776126809771815,1.1584519975782939,3.6900411666666666,11.652794292508919
jma_seamless,1,1109,-1.1685210878049166,1.3790728616222998,1.7198845627771358,1.2619672644860143,3.403142999999999,8.11541929666366
jma_seamless,2,994,-1.1642867212539003,1.473664188948182,1.8647425378876514,1.456606042593371,3.789368869565217,10.663983903420524
jma_seamless,3,841,-0.8328505489296734,1.2620563599379622,1.5677523443175851,1.3282346841807835,2.912920333333333,4.756242568370987
ukmo_seamless,1,1109,-0.881500769844049,1.0653917836703188,1.3894930267812315,1.0740797289950208,2.943282499999999,4.779080252479711
ukmo_seamless,2,994,-1.3027498355921368,1.3901011259132283,1.7280881726803299,1.1353993123224544,3.4668545083333338,8.350100603621732
ukmo_seamless,3,841,-1.2651210838005538,1.416502864151153,1.7500151584750092,1.2091408926240252,3.3819844999999997,8.680142687277051
